id;nombre;sexo;trato;circunscripcion;partido;fecha_condicion_plena;fecha_alta;fecha_baja;g_par;fecha_alta_g_par;fecha_baja_g_par;biografia;asiento;gobierno
36;Badia Casas, Eloi;H;Diputado;Barcelona;CeC;/Date(1692226800000)/;/Date(1692140400000)/;;Plurinacional SUMAR;/Date(1693177200000)/;;Activista ambiental y social.  Ingeniero industrial en la Universidad Politécnica de Cataluña. Responsable de proyectos de agua y energía en la ONG Ingeniería sin Fronteras Cataluña (2007-2015).  Concejal de Emergencia Climática y Transición Energética del Ayuntamiento de Barcelona. (2015-2023).  Ha participado en proyectos de cooperación en Ecuador, Argentina, India y Paraguay.;89;0
37;Barrio Baroja, Carmelo;H;Diputado;Araba;PP;/Date(1710806400000)/;/Date(1710806400000)/;;Popular en el Congreso;/Date(1710806400000)/;;Licenciado en Derecho (Universidad País Vasco)  Curso Superior Derecho y Economía Cooperativas (UPV)  Escuela Práctica Jurídica (Colegio Abogados de Álava)  Miembro de las Juntas Generales de Álava (1987-90)  Parlamentario Vasco (1990-2024)  Concejal en Zambrana y Peñacerrada (Álaba)  Secretario General PP Vasco (1996-2008);376;0
38;Bayón Rolo, Juan Andrés;H;Diputado;Pontevedra;PP;/Date(1718060400000)/;/Date(1718060400000)/;;Popular en el Congreso;/Date(1718060400000)/;;Grado Derecho por la Universidad de Santiago de Compostela.  Máster en Práctica Jurídica (Abogacía) por la Universidad de santiago de Compostela  Abogado.  Concejal del Ayuntamiento de Vilagarcía de Arousa (2023-2027);14;0
39;Beamonte Mesa, Luis María;M;Diputada;Zaragoza;PP;/Date(1692226800000)/;/Date(1691967600000)/;;Popular en el Congreso;/Date(1692313200000)/;;Cursados los estudios de la Licenciatura de Derecho. Curso Escuela Práctica Jurídica Universidad de Zaragoza. Programa de Liderazgo para la gestión pública IESE Madrid. Profesional autónomo en el ámbito de la consultoría y asesoría de empresas.  Alcalde de Tarazona (Zaragoza) (2007-2019). Presidente de la Diputación de Zaragoza (2011-2015). Diputado en las Cortes de Aragón (2015-2023). Portavoz del Grupo PP en las Cortes de Aragón (2019-2023).  Presidente PP Provincia de Zaragoza (2008-2017). Presidente autonómico PP Aragón (2017-2021).;283;0
40;Belarra Urteaga, Ione;H;Diputado;Madrid;PODEMOS;/Date(1692226800000)/;/Date(1691708400000)/;;Mixto;/Date(1701734400000)/;;"Grado Superior en Integración Social. Licenciada en Psicología. Máster en psicología de la educación. Segundo año de doctorado en Educación, Desarrollo y Aprendizaje. 
Ha trabajado en Cruz Roja, Comisión Española de Ayuda al Refugiado, MECD y Universidad Autónoma de Madrid. 
SOS Racismo. Consejo Ciudadano de Navarra Podemos. Consejo Ciudadano Estatal Podemos.";61;0
41;Belda Pérez-Pedrero, Enrique;H;Diputado;Ciudad Real;PP;/Date(1692226800000)/;/Date(1691535600000)/;;Popular en el Congreso;/Date(1692313200000)/;;"Casado. Dos hijos.  Catedrático de Derecho Constitucional.  Consejo Consultivo de Castilla La Mancha (2006-2019). Concejal del Ayuntamiento de Ciudad Real (1991-2000; 2019-2023).  Autor de numerosas publicaciones de su ámbito científico.";285;0
42;Belmonte Gómez, Rafael Benigno;H;Diputado;Sevilla;PP;/Date(1692226800000)/;/Date(1691449200000)/;;Popular en el Congreso;/Date(1692313200000)/;;Casado, tres hijos.  Abogado.  Director General Participación Ciudadana Ayuntamiento de Sevilla (2011).  Concejal Ayuntamiento de Sevilla (2012-2015, 2016-2023);146;0
43;Bendodo Benasayag, Elías;H;Diputado;Málaga;PP;/Date(1692226800000)/;/Date(1691535600000)/;;Popular en el Congreso;/Date(1692313200000)/;;Licenciado en Derecho.  Abogado  Vicesecretario de Coordinación Autonómica y Local y Análisis Electoral del Partido Popular.;313;0
44;Bermúdez de Castro Fernández, José Antonio;H;Diputado;Salamanca;PP;/Date(1692226800000)/;/Date(1691103600000)/;;Popular en el Congreso;/Date(1692313200000)/;;"Casado. Un hijo. 
Licenciado en Derecho por la Universidad de Salamanca. Especialidad Asesoría Jurídica y Fiscal de Empresas (lCADE). 
Gestor administrativo (no ejerciente). 
Secretario Ejecutivo y miembro del Comité Ejecutivo Nacional del Partido Popular (PP).
";369;0
45;Blanco Arrúe, Gabriel;H;Diputado;Bizkaia;PSOE;/Date(1749510000000)/;/Date(1749510000000)/;;Socialista;/Date(1749510000000)/;;Graduado en Derecho. Graduado en Relaciones Internacionales. Máster en Derecho Ambiental. Máster en Espacios Naturales Protegidos.  Secretario General de Juventudes Socialistas de Euskadi.  Secretario LGTBI del PSE-EE;46;0
46;Blanquer Alcaraz, Patricia;M;Diputada;Alacant;PSOE;/Date(1692226800000)/;/Date(1691449200000)/;;Socialista;/Date(1693177200000)/;;Licenciada en Ciencias Económicas y Empresariales (Universidad de Alicante). Máster en Auditoría y Gestión Empresarial. Curso de Especialista en Comunidades Europeas y Unión Europea.  XLIX Curso de Defensa Nacional impartido por el Centro Superior de Estudios de la Defensa Nacional (CESEDEN).  Ha sido profesora asociada en el Departamento de Investigación Operativa Aplicada y de Calidad (UPV) en EPSA, Alcoi y concejal y portavoz del Grupo Socialista del Excmo. Ayuntamiento de Alcoi.  Portavoz de Industria del Grupo Parlamentario Socialista en la X Legislatura. Portavoz de Hacienda en el Grupo Parlamentario Socialista en la XII, XIII y XIV Legislatura.  Secretaria de Industria, Comercio y Turismo de la Ejecutiva Federal del PSOE (2021-2024).  Secretaria de industria y sectores productivos de la ejecutiva del PSPV-PSOE.;259;0
47;Boada Danés, Júlia;H;Diputado;Girona;CeC;/Date(1692226800000)/;/Date(1692140400000)/;;Plurinacional SUMAR;/Date(1693782000000)/;;Licenciada en Ciencias Políticas y de la Administración por la Universitat Pumpeu Fabra (2011).  Máster en Estudios Europeos por la Université Libre de Bruxelles (2017)  Auxiliar en Investigación en el Institut de Govern i Polítiques Públiques (2012-2013)  Directora del Consell de la Joventut de Barcelona (2014-2016)  Becaria en la United Nations Office on Drugs and Crimes (2018)  Asesora en el European Green Party (2018-2023)  Miembro de las ejecutivas de Joves d'Esquerra Verda (2012-2016) y la Federation of Young European Greens (2014-2015)   Miembro del Consell Nacional de Catalunya en Comú (2021- );127;0
48;Bolaños García, Félix;H;Diputado;Madrid;PSOE;/Date(1692226800000)/;/Date(1691622000000)/;;Socialista;/Date(1693177200000)/;;Soltero. Pareja de hecho.  Licenciado en Derecho.  Abogado.  Ministro de Presidencia, Relaciones con las Cortes y Memoria Democrática.  Secretario en la Ejecutiva del PSOE de Reforma Constitucional y Nuevos Derechos.;250;1
49;Borrego Cortés, Isabel María;M;Diputada;Murcia;PP;/Date(1692226800000)/;/Date(1691449200000)/;;Popular en el Congreso;/Date(1692313200000)/;;Licenciada en Derecho.   Máster en urbanismo y derecho inmobiliario, abogada no ejerciente en la actualidad.   Técnico superior en excedencia, administración institucional.   Directora General de Vivienda.   Secretaria de Estado de turismo, portavoz adjunta del Grupo Popular. ;168;0
